NDVI_Q1,NDVI_Q2,NDVI_Q3,NDVI_Q4,Pr_Q1,Pr_Q2,Pr_Q3,Pr_Q4
0.286,0.443,0.625,0.357,102.475,68.02,56.104,79.276
0.274,0.449,0.633,0.43,123.148,107.395,86.134,14.58
0.264,0.456,0.599,0.405,53.929,81.998,116.555,26.21
0.282,0.461,0.622,0.419,30.741,61.178,65.913,74.863
0.286,0.442,0.654,0.39,95.406,80.144,88.687,85.688
0.271,0.462,0.638,0.422,60.867,126.67,38.599,56.229
0.278,0.479,0.647,0.435,112.518,46.563,126.883,30.367
0.293,0.435,0.671,0.43,52.768,67.19,112.518,28.99
0.317,0.494,0.659,0.444,131.141,47.509,87.248,81.707
0.283,0.446,0.623,0.402,82.227,95.455,73.426,12.133
0.274,0.462,0.63,0.414,146.639,57.388,102.14,30.23
0.287,0.496,0.646,0.403,99.44,62.784,82.809,11.172
0.276,0.481,0.632,0.442,88.992,80.738,101.603,56.233
0.277,0.492,0.664,0.417,77.363,71.821,131.074,34.614
0.295,0.497,0.671,0.43,128.913,134.045,74.961,35.077
0.306,0.482,0.671,0.406,44.421,82.895,119.097,46.19
0.303,0.527,0.656,0.424,101.669,105.827,66.651,22.297
0.298,0.488,0.632,0.404,91.835,64.438,76.124,18.707
0.288,0.502,0.616,0.391,59.281,45.927,84.82,10.498
0.312,0.53,0.647,0.396,33.148,66.531,80.463,28.2
0.286,0.522,0.642,0.428,69.82,76.488,72.317,10.379
0.274,0.476,0.626,0.413,142.604,95.515,105.463,36.548
0.298,0.523,0.655,0.409,65.925,103.211,63.797,46.843
0.286,0.47,0.662,0.422,124.533,69.009,65.463,24.234
0.279,0.506,0.636,0.415,94.96,54.783,153.139,69.265
0.31,0.529,0.65,0.405,100.092,53.72,74.082,6.103
0.26,0.496,0.639,0.398,57.206,99.067,83.302,61.285
0.315,0.475,0.673,0.366,101.493,81.654,45.89,23.685
0.269,0.528,0.607,0.451,62.621,99.328,149.878,15.715
0.265,0.528,0.646,0.4,92.659,56.456,88.653,25.901
0.258,0.476,0.656,0.408,75.964,56.147,82.007,33.023
0.282,0.536,0.665,0.416,95.856,81.14,105.424,23.938
