NDVI_Q1,NDVI_Q2,NDVI_Q3,NDVI_Q4,Tmax_Q1,Tmax_Q2,Tmax_Q3,Tmax_Q4
0.286,0.443,0.625,0.357,3.89,19.037,23.52,10.756
0.274,0.449,0.633,0.43,4.156,18.018,23.895,11.848
0.264,0.456,0.599,0.405,5.162,21.079,23.346,11.086
0.282,0.461,0.622,0.419,6.63,20.543,24.245,11.58
0.286,0.442,0.654,0.39,4.342,18.914,23.409,11.209
0.271,0.462,0.638,0.422,5.905,18.322,24.62,12.028
0.278,0.479,0.647,0.435,5.842,21.149,23.704,12.419
0.293,0.435,0.671,0.43,4.601,18.604,23.1,11.89
0.317,0.494,0.659,0.444,5.148,20.467,24.474,12.054
0.283,0.446,0.623,0.402,3.736,18.452,24.071,11.584
0.274,0.462,0.63,0.414,4.258,18.214,22.972,12.51
0.287,0.496,0.646,0.403,4.903,20.066,23.624,11.784
0.276,0.481,0.632,0.442,5.723,19.447,23.217,11.368
0.277,0.492,0.664,0.417,3.91,18.95,23.07,11.402
0.295,0.497,0.671,0.43,5.06,18.332,23.066,11.357
0.306,0.482,0.671,0.406,5.403,18.184,24.236,10.827
0.303,0.527,0.656,0.424,4.548,19.501,23.559,12.011
0.298,0.488,0.632,0.404,5.545,20.729,24.391,12.907
0.288,0.502,0.616,0.391,5.024,21.625,23.101,12.45
0.312,0.53,0.647,0.396,6.71,20.511,22.857,12.377
0.286,0.522,0.642,0.428,5.858,20.751,22.749,12.315
0.274,0.476,0.626,0.413,4.828,19.396,22.788,11.236
0.298,0.523,0.655,0.409,7.167,20.056,23.409,11.6
0.286,0.47,0.662,0.422,4.156,18.91,23.258,11.652
0.279,0.506,0.636,0.415,5.687,20.479,22.98,12.152
0.31,0.529,0.65,0.405,6.171,21.003,23.342,11.95
0.26,0.496,0.639,0.398,5.027,19.877,22.935,12.928
0.315,0.475,0.673,0.366,6.797,19.705,23.793,11.554
0.269,0.528,0.607,0.451,7.047,19.709,22.276,12.754
0.265,0.528,0.646,0.4,5.127,20.637,22.914,11.978
0.258,0.476,0.656,0.408,3.432,19.128,23.342,11.712
0.282,0.536,0.665,0.416,5.212,20.076,23.841,12.481
