NDVI_Q1,NDVI_Q2,NDVI_Q3,NDVI_Q4,Tmin_Q1,Tmin_Q2,Tmin_Q3,Tmin_Q4
0.286,0.443,0.625,0.357,-4.126,8.626,13.561,1.404
0.274,0.449,0.633,0.43,-4,7.808,13.665,0.79
0.264,0.456,0.599,0.405,-2.665,10.537,13.052,0.927
0.282,0.461,0.622,0.419,-1.808,9.438,13.807,1.156
0.286,0.442,0.654,0.39,-4.012,8.409,13.206,1.325
0.271,0.462,0.638,0.422,-2.824,8.139,14.203,1.738
0.278,0.479,0.647,0.435,-1.765,10.37,13.625,1.407
0.293,0.435,0.671,0.43,-3.437,8.81,12.804,1.303
0.317,0.494,0.659,0.444,-1.921,10.035,13.769,0.783
0.283,0.446,0.623,0.402,-3.402,8.346,13.718,1.264
0.274,0.462,0.63,0.414,-2.584,8.313,13.151,1.229
0.287,0.496,0.646,0.403,-2.529,9.709,13.37,1.895
0.276,0.481,0.632,0.442,-2.148,9.023,13.37,1.119
0.277,0.492,0.664,0.417,-3.079,9.479,13.527,1.174
0.295,0.497,0.671,0.43,-1.893,9.432,13.682,-0.055
0.306,0.482,0.671,0.406,-3.73,7.646,13.427,0.051
0.303,0.527,0.656,0.424,-2.809,10.225,14.337,1.086
0.298,0.488,0.632,0.404,-2.005,10.786,14.726,2.171
0.288,0.502,0.616,0.391,-3.07,11.512,13.882,2.723
0.312,0.53,0.647,0.396,-2.267,10.816,14.049,2.355
0.286,0.522,0.642,0.428,-2.345,10.583,14.185,2.452
0.274,0.476,0.626,0.413,-2.121,9.992,14.244,1.633
0.298,0.523,0.655,0.409,-0.518,10.217,13.948,1.798
0.286,0.47,0.662,0.422,-2.398,9.622,14.326,1.414
0.279,0.506,0.636,0.415,-0.438,10.964,14.044,2.084
0.31,0.529,0.65,0.405,-2.812,10.917,14.38,1.333
0.26,0.496,0.639,0.398,-1.814,10.718,13.713,2.414
0.315,0.475,0.673,0.366,-1.396,9.909,14.569,1.73
0.269,0.528,0.607,0.451,-0.778,10.553,14.164,2.123
0.265,0.528,0.646,0.4,-2.063,10.726,14.306,2.505
0.258,0.476,0.656,0.408,-2.562,10.023,14.784,1.338
0.282,0.536,0.665,0.416,-3.531,10.801,14.943,2.737
